Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
Itau Educacao e Trabalho,Analista em gestao do conhecimento  (monitoramento de pesquisas e dados),Sao Paulo - SP,20/04/2023,Efetivo,Presencial
Datum TI,Pessoa Engenheira de Dados Senior,Sao Paulo - SP,19/04/2023,Efetivo,Remoto
Stocche Forbes Advogados,Estagiario(a) - Contratos / Societario / Protecao de Dados / Propriedade Intelectual,Belo Horiz... - MG,18/04/2023,Estagio,Presencial
RHMED Consultores Associados,ANALISTA DE DADOS,Rio de Jan... - RJ,17/04/2023,Efetivo,Presencial
Diversa - Bip Brasil,Pessoa Cientista de Dados na xTech - Vaga afirmativa para PCD,Sao Paulo - SP,17/04/2023,Banco de Talentos,Remoto
Cielo,Especialista em Dados,Barueri - SP,14/04/2023,Efetivo,Presencial
Itau Unibanco,ANL SISTEMAS SR (Eng. Dados - Plataforma) - DADOS E CRM (REDE),Sao Paulo - SP,14/04/2023,Efetivo,Presencial
Superlogica Tecnologias,Pessoa Analista de Engenharia de Dados,Nao informado,11/04/2023,Efetivo,Remoto
Grupo Acelerador,Analista de Dados,Barueri - SP,10/04/2023,Efetivo,Presencial
Vivo Vita,Administrador de Banco De Dados Pleno,Sao Paulo - SP,06/04/2023,Efetivo,Presencial
Itau Unibanco,ANL ENGENHARIA DE DADOS SR - IBBA,Sao Paulo - SP,06/04/2023,Efetivo,Presencial
Rotoline,"Nao encontrou a vaga que procurava? Envie seu curriculo mesmo assim, para que possamos ter seus dados quando surgirem novas vagas.",Chapeco - SC,04/04/2023,Banco de Talentos,Presencial
Sisprime,Administrador de Banco de Dados,Londrina - PR,31/03/2023,Efetivo,Presencial
Ambev Tech,Engenharia de Dados - Vaga afirmativa para Mulheres e/ou Pessoas Pretas/Pardas e/ou PCD,Nao informado,27/03/2023,Efetivo,Presencial
Continental Bom Dia Distribuidora,Estagiario(a) de Dados e Processos,Itapeceric... - SP,24/03/2023,Estagio,Presencial
Hypera Pharma,ARQUITETO DADOS,Sao Paulo - SP,23/03/2023,Efetivo,Presencial
Unicred Central Conexao,Cientista de Dados | Itajai,Itajai  - SC,22/03/2023,Efetivo,Presencial
Stefanini Group,ENGENHEIRO DE DADOS SR,Sao Paulo - SP,21/03/2023,Efetivo,Remoto
V.tal | o futuro passa por aqui,Banco de Talentos - Dados,Nao informado,21/03/2023,Banco de Talentos,Presencial
ProcessMind,Analista Banco de Dados,Sao Paulo - SP,21/03/2023,Efetivo,Presencial
Welcome The Future,Analista de Banco de Dados,Salvador - BA,20/03/2023,Efetivo,Presencial
Itau Unibanco,Analista de Estrategia de Dados,Sao Paulo - SP,17/03/2023,Efetivo,Presencial
Sem Parar,Analista de Dados Comerciais,Sao Paulo - SP,15/03/2023,Efetivo,Remoto
Stefanini Group,Cientista de Dados,Nao informado,15/03/2023,Efetivo,Remoto
Stefanini Group,Engenheiro de Dados,Brasilia - DF,15/03/2023,Efetivo,Remoto
SLC Maquinas,Cientista de Dados Agro,Nao informado,15/03/2023,Efetivo,Presencial
J&T Express Brasil,Analista de Dados Senior - Sao Paulo / SP,Sao Paulo - SP,15/03/2023,Efetivo,Presencial
Embraer,Analista de Dados JR (Vaga afirmativa para pessoas com deficiencia),Sao Jose d... - SP,13/03/2023,Efetivo,Presencial
Grupo Acelerador,BANCO DE DADOS ACELERADO,Barueri - SP,13/03/2023,Efetivo,Presencial
Mobi7,ANALISTA DE DADOS III,Curitiba - PR,10/03/2023,Efetivo,Remoto
DM,Dados | Engenheiro de Machine Learning Senior,Sao Jose d... - SP,10/03/2023,Efetivo,Remoto
Genial Investimentos,Cientista de Dados,Sao Paulo - SP,09/03/2023,Efetivo,Remoto
Mottu,Analista de Dados Junior e Pleno,Sao Paulo - SP,03/03/2023,Pessoa Juridica,Presencial
Itau Unibanco,Analista de Dados - Solucoes de Investimentos,Sao Paulo - SP,28/02/2023,Efetivo,Presencial
Vagas Peers,Data Architect (Arquiteto de Dados),Sao Paulo - SP,28/02/2023,Efetivo,Remoto
GPA,Analista Ciencia de Dados Senior,Sao Paulo - SP,27/02/2023,Efetivo,Presencial
Kempetro Engenharia,Analista de Dados,Rio de Jan... - RJ,23/02/2023,Efetivo,Presencial
TecBan,ANALISTA DADOS II,Sao Paulo - SP,13/02/2023,Efetivo,Remoto
Fundacao Sao Paulo,Auxiliar de Processamento de Dados,Sao Paulo - SP,10/02/2023,Efetivo,Presencial
Agrofel Graos e Insumos,Analista de Dados,Porto Alegre - RS,08/02/2023,Efetivo,Presencial
Stefanini Group,Administrador de Banco de Dados,Brasilia - DF,06/02/2023,Efetivo,Remoto
Itau Unibanco,Engenharia de Dados Pleno - Credito PF ,Sao Paulo - SP,31/01/2023,Efetivo,Presencial
Itau Unibanco,Engenheiro (a) de Dados Pleno - IBBA,Sao Paulo - SP,30/01/2023,Efetivo,Presencial
EloGroup,Engenheiro(a) de dados Senior,Sao Paulo - SP,27/01/2023,Efetivo,Remoto
NAVA | Technology for Business,BANCO DE TALENTOS - ENGENHARIA DE DADOS JR/PL/SR/ESPECIALISTAS,Nao informado,23/01/2023,Banco de Talentos,Presencial
Itau Unibanco,Engenheiro(a) de Dados Pleno,Sao Paulo - SP,20/01/2023,Efetivo,Presencial
Itau Unibanco,Engenharia de Dados | Oportunidade direcionada para Mulheres,Sao Paulo - SP,20/01/2023,Efetivo,Presencial
Porsche Cup Brasil,Banco de Talentos | Analista de Dados Freelancers,Sao Paulo - SP,19/01/2023,Banco de Talentos,Presencial
Kempetro Engenharia,Analista de Dados de Automacao de Projetos,Sao Paulo - SP,17/01/2023,Efetivo,Presencial
Itau Unibanco,Analista de Dados Senior (Marketing),Sao Paulo - SP,17/01/2023,Efetivo,Presencial
Infotec Brasil,Analista de Dados - Salvador/BA,Sao Franci... - BA,14/01/2023,Efetivo,Presencial
Visagio,Formados - Tecnologia | Automacao e Dados NE,Recife - PE,07/01/2023,Banco de Talentos,Presencial
Visagio,Formados - Tecnologia | Automacao e Dados SP,Sao Paulo - SP,07/01/2023,Banco de Talentos,Presencial
Visagio,Formados - Tecnologia | Automacao e Dados RJ,Rio de Jan... - RJ,07/01/2023,Banco de Talentos,Presencial
Itau Unibanco,Engenheiro (a) de Dados Senior - IBBA,Sao Paulo - SP,27/12/2022,Efetivo,Presencial
Infotec Brasil,Analista de Dados - Home Office,Rio de Jan... - RJ,26/12/2022,Efetivo,Remoto
Visagio,Formados - Tecnologia | Automacao e Dados Fortaleza,Fortaleza - CE,19/12/2022,Banco de Talentos,Presencial
Unidas,Analista de Inteligencia de Dados PL,Curitiba - PR,08/12/2022,Efetivo,Presencial
J&T Express Brasil,Analista de dados (BI),Belo Horiz... - MG,25/11/2022,Efetivo,Presencial
Ajinomoto do Brasil,Analista de TI (Administracao de Bancos de Dados),Limeira - SP,23/11/2022,Efetivo,Presencial
Projeto BRA,BRADESCO | Engenheiro de Dados,Barueri - SP,11/11/2022,Efetivo,Presencial
Itau Unibanco,Engenheiro (a) de Dados Senior,Sao Paulo - SP,11/11/2022,Efetivo,Presencial
Itau Unibanco,Engenheiro (a) de Dados Senior,Sao Paulo - SP,10/11/2022,Efetivo,Presencial
Itau Unibanco,Analista de Ciencia de Dados Pleno,Sao Paulo - SP,09/11/2022,Efetivo,Presencial
Diversa - Bip Brasil,Cientista de Dados na xTech - Vaga afirmativa para mulheres,Sao Paulo - SP,03/11/2022,Banco de Talentos,Remoto
Diversa - Bip Brasil,Engenheira de Dados xTech - Vaga afirmativa para mulheres,Sao Paulo - SP,03/11/2022,Banco de Talentos,Remoto
Bip Brasil,Pessoa Consultora de Governanca de Dados - CoE xTech,Sao Paulo - SP,27/09/2022,Banco de Talentos,Remoto
Instituto Atlantico,[Banco de Talentos] Pessoa Engenheira de Dados,Fortaleza - CE,06/09/2022,Banco de Talentos,Remoto
Itau Unibanco,Analista de Dados de Prevencao a Fraude -  Senior,Sao Paulo - SP,29/07/2022,Efetivo,Presencial
EloGroup,Engenheiro(a) de Dados Pleno,Nao informado,18/07/2022,Efetivo,Remoto
Cidacs,Banco de Talento | Engenheiro de Dados Junior,Salvador - BA,13/07/2022,Banco de Talentos,Presencial
Keep Simple,Engenheiro de Dados (1875),Curitiba - PR,12/07/2022,Pessoa Juridica,Presencial
Itau Unibanco,Analista de Dados - Exclusivo para Profissionais com Deficiencia,Sao Paulo - SP,08/07/2022,Efetivo,Presencial
Bip Brasil,Pessoa Engenheira de Dados - CoE xTech,Sao Paulo - SP,01/07/2022,Banco de Talentos,Remoto
Bip Brasil,Pessoa Cientista de Dados - CoE xTech,Sao Paulo - SP,01/07/2022,Banco de Talentos,Remoto
Vivo Digital,Banco de Talentos - Dados/BI/Analytics,Sao Paulo - SP,13/06/2022,Banco de Talentos,Presencial
Santander Brasil,Analista Senior de Dados,Sao Paulo - SP,18/05/2022,Efetivo,Presencial
DEXCO,Banco de Talentos - Cientista de Dados,Sao Paulo - SP,17/03/2022,Banco de Talentos,Remoto
Globo,Cientista de Dados | Big Data & AI,Rio de Jan... - RJ,13/01/2022,Banco de Talentos,Remoto
Sicredi,Banco de Dados - Gerente de Negocios   - Rancharia/SP,Rancharia - SP,20/10/2021,Banco de Talentos,Presencial
Sicredi,Banco de Dados  -Rancharia/SP,Rancharia - SP,20/10/2021,Banco de Talentos,Presencial
Sicredi,Banco de dados - Vaga PCD - Rancharia/SP (Administrativo/Comercial),Rancharia - SP,20/10/2021,Banco de Talentos,Presencial
Pollo Engenharia,Engenheiro Civil - Banco de Dados,Itajuba - MG,30/07/2021,Pessoa Juridica,Presencial
Brivia,Analista de Dados,Rio de Jan... - RJ,08/06/2021,Banco de Talentos,Remoto
Brivia,Cientista de Dados,Florianopolis - SC,04/06/2021,Banco de Talentos,Remoto
Brivia,Engenheiro(a) de Dados,Sao Paulo - SP,04/06/2021,Banco de Talentos,Remoto
Globalsys Solucoes em TI,Banco de Talentos - Analista de Dados/ Analista de BI ou Cientista de Dados,Nao informado,04/06/2021,Banco de Talentos,Remoto
Fennix Brasil Distribuidora,* NAO ENCONTROU A VAGA QUE VOCE GOSTARIA? CADASTRE SEUS DADOS AQUI!!! *,Manaus - AM,14/04/2021,Banco de Talentos,Presencial
Qexpert,Banco de Talentos Analista de Dados,Curitiba - PR,18/03/2021,Banco de Talentos,Remoto
Qexpert,Banco de Talentos Engenheiro de Dados,Curitiba - PR,18/03/2021,Banco de Talentos,Remoto
Qexpert,Banco de Talentos Cientista de Dados,Curitiba - PR,18/03/2021,Banco de Talentos,Remoto
Sicredi,Banco de Dados Jovem Aprendiz - Dracena/SP,Dracena - SP,11/03/2021,Banco de Talentos,Presencial
Qualidados,Nao encontrou uma vaga com seu perfil? Cadastre seus dados aqui!!,Nao informado,29/05/2020,Banco de Talentos,Presencial
Log-In Logistica Intermodal,Especialista em Analise de Dados - VAGA BANCO,Rio de Jan... - RJ,31/03/2020,Banco de Talentos,Presencial
