Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
MESHA TECNOLOGIA,Lider Tecnico (Dados) - Hibrido,Maceio - AL,07/08/2023,Efetivo,Presencial
3CON | IT & Digital,Analista de Banco de Dados PostgreSQL,Sao Paulo - SP,07/08/2023,Efetivo,Presencial
Bip Brasil,Analista de Dados Pleno - Manufacturing,Sao Paulo - SP,07/08/2023,Efetivo,Remoto
MESHA TECNOLOGIA,Analista de Dados - Hibrido (Maceio),Maceio - AL,07/08/2023,Efetivo,Presencial
Bemobi,Estagio em Dados,Rio de Jan... - RJ,07/08/2023,Estagio,Remoto
Stefanini Group,Cientista de Dados Pleno,Belo Horiz... - MG,07/08/2023,Efetivo,Remoto
Stefanini Group,Cientista de Dados Jr,Belo Horiz... - MG,07/08/2023,Efetivo,Remoto
Digio,Estagiario de Dados e MIS,Barueri - SP,07/08/2023,Estagio,Remoto
Stefanini Group,Analista de Dados,Sao Jose d... - SP,07/08/2023,Efetivo,Presencial
Superlogica Tecnologias,Pessoa Analista de Marketing Pleno - Foco em Dados,Londrina - PR,07/08/2023,Efetivo,Remoto
Omie,Engenheiro de Dados II,Sao Paulo - SP,07/08/2023,Efetivo,Remoto
Conexia,Administrador de Banco de Dados,Ribeirao P... - SP,07/08/2023,Efetivo,Remoto
Montreal & Tecnologia & Inovacao,Administrador de Banco de Dados ADABAS/NATURAL - Regional RJ,Rio de Jan... - RJ,07/08/2023,Efetivo,Presencial
V360,"V360 - Estagio em Processos e Projetos, Dados e Gente e Gestao - ChegaMais",Nao informado,06/08/2023,Estagio,Remoto
BIRD Moving Business Forward,Analista de Dados e CRM,Sao Paulo - SP,04/08/2023,Pessoa Juridica,Presencial
Stefanini Group,ADMINISTRADOR DADOS SR - AD,Brasafalia - DF,04/08/2023,Efetivo,Remoto
Centro de Excelencia Votorantim,ANALISTA DE DADOS,Sao Paulo - SP,04/08/2023,Efetivo,Presencial
Tech Sicredi,Cientista de Dados - Foco em Investimentos,Porto Alegre - RS,04/08/2023,Efetivo,Remoto
Stormx,Pessoa Analista de Dados,Sao Paulo - SP,04/08/2023,Pessoa Juridica,Presencial
Centro de Excelencia Votorantim,CONSULTOR(A) DE DADOS,Sao Paulo - SP,04/08/2023,Efetivo,Presencial
Radix Engenharia e Software,Profissional Analista de Dados Power BI Senior,Nao informado,04/08/2023,Efetivo,Remoto
